,yhat
2025-09-10 01:45:30,4180.655023683827
2025-09-10 01:45:40,3639.375512684487
2025-09-10 01:45:50,2630.8376203951225
2025-09-10 01:46:00,2400.0998801293786
2025-09-10 01:46:10,2712.3765210905353
2025-09-10 01:46:20,2512.2881548450537
2025-09-10 01:46:30,2527.3236968172573
2025-09-10 01:46:40,2519.2276357553014
2025-09-10 01:46:50,2705.437040180287
2025-09-10 01:47:00,2513.444734996762
2025-09-10 01:47:10,2356.728124440329
2025-09-10 01:47:20,2211.5773154009767
2025-09-10 01:47:30,2511.7098647691996
2025-09-10 01:47:40,2515.1796052243235
2025-09-10 01:47:50,2219.0950863870785
2025-09-10 01:48:00,2334.7531015578775
2025-09-10 01:48:10,2102.280491064572
2025-09-10 01:48:20,2209.8424451734145
2025-09-10 01:48:30,2466.6032388525878
2025-09-10 01:48:40,2642.4034219122022
2025-09-10 01:48:50,2499.5657731762653
2025-09-10 01:49:00,2079.7271781062664
2025-09-10 01:49:10,2087.823239168222
2025-09-10 01:49:20,2249.7444604073403
2025-09-10 01:49:30,2457.350597638924
2025-09-10 01:49:40,2505.9269640106595
2025-09-10 01:49:50,2402.991330508649
2025-09-10 01:50:00,2669.5830554773397
2025-09-10 01:50:10,2652.23435320172
2025-09-10 01:50:20,2905.5254064257692
2025-09-10 01:50:30,2597.8750860714445
2025-09-10 01:50:40,2781.1930401171608
2025-09-10 01:50:50,2613.488918119502
2025-09-10 01:51:00,3171.5388413186065
2025-09-10 01:51:10,2773.675269131059
2025-09-10 01:51:20,3198.7184748837444
2025-09-10 01:51:30,2976.6550857558104
2025-09-10 01:51:40,3327.098871723331
2025-09-10 01:51:50,2932.126749915053
2025-09-10 01:52:00,3000.3649788658245
2025-09-10 01:52:10,2684.0403073736898
2025-09-10 01:52:20,2796.2285820893644
2025-09-10 01:52:30,3051.8327956168296
2025-09-10 01:52:40,3146.672368056885
2025-09-10 01:52:50,3410.95093272216
2025-09-10 01:53:00,3314.376490054543
2025-09-10 01:53:10,3394.180520522394
2025-09-10 01:53:20,3098.0960016851495
2025-09-10 01:53:30,3399.963421280934
2025-09-10 01:53:40,2766.1574981449567
2025-09-10 01:53:50,2515.1796052243235
2025-09-10 01:54:00,2503.0355136313897
2025-09-10 01:54:10,2551.611880003125
2025-09-10 01:54:20,2678.2574066151496
2025-09-10 01:54:30,2780.6147500413067
2025-09-10 01:54:40,2303.5254374617616
2025-09-10 01:54:50,2282.706994731018
2025-09-10 01:55:00,2961.619543783607
2025-09-10 01:55:10,2785.2410706481387
2025-09-10 01:55:20,3242.6685206486477
2025-09-10 01:55:30,2733.194963821279
2025-09-10 01:55:40,2672.47450585661
2025-09-10 01:55:50,2436.53215490818
2025-09-10 01:56:00,2303.5254374617616
2025-09-10 01:56:10,2644.138292139764
2025-09-10 01:56:20,2108.063391823112
2025-09-10 01:56:30,2474.1210098386896
2025-09-10 01:56:40,2571.273742582161
2025-09-10 01:56:50,2668.4264753256316
2025-09-10 01:57:00,2738.977864579819
2025-09-10 01:57:10,2633.7290707743923
2025-09-10 01:57:20,2093.027849850908
2025-09-10 01:57:30,2372.341956488387
2025-09-10 01:57:40,2308.1517580685936
